LANGUAGE,"English","Czech"
STR_CELO_LOAD_TEXT,"Pantha rei","Pantha rei"
STR_CELO_MissionName,"Cope's revenge 3","Copeho pomsta 3"
STR_CELO_title1,"Celoush","Celoush",
STR_CELO_title2,"present","uvádí",
STR_CELO_title3,"Cope's Revenge 3","Copeho pomsta 3"
STR_CELO_title4,"The End","Konec",
STR_CELO_DEBR_title,"Finally revenged","Pomsta dokonána"
STR_CELO_DEBR_description,"This is the end.","Dotřetice všeho dobrého"
STR_CELO_DiaryName,"Cope's revenge 3","Copeho pomsta 3"
STR_CELO_DiaryDescription,"It looks like it never ends. I was trying to find peacefull place but no. They tried to kill me. Time to another revenge. Maybe I am old man and my instinct wont last long.  So, I must be fast","Zdá se, že tomu nikdy neuniknu. Našel jsem si klidné místo, přesto se našli další, kteří se rozhodli můj klid ukončit. Varoval jsem je a přesto se mne pokusili zabít. Je čas na další pomstu. Jsem už starý muž a instinkty mne brzo opouští. Musím být rychlý."
